Route,Direction,StopOrder,StopID,PercentDone,ID
116,OB,13,2009,20.26,177
116,OB,14,2010,24.07,178
116,OB,15,435,26.12,179
116,OB,16,2011,30.5,180
116,OB,17,2012,31.66,181
116,OB,18,3322,37.19,182
116,OB,19,3563,38.98,183
116,OB,20,444,41.13,184
116,OB,21,445,42.24,185
116,OB,22,4779,43.64,186
116,OB,23,7057,45.08,187
116,OB,24,5142,48.15,188
116,OB,25,448,50.58,189
116,OB,26,4457,51.26,190
116,OB,27,3182,52.2,191
116,OB,28,3183,53.34,192
116,OB,29,4350,56.85,193
116,OB,30,5143,58.22,194
116,OB,31,2837,60.63,195
116,OB,32,2838,61.76,196
116,OB,33,2839,63.04,197
116,OB,34,2840,64.11,198
116,OB,35,2845,72.35,199
116,OB,36,2846,74.74,200
116,OB,37,2847,75.55,201
116,OB,38,4397,76.69,202
116,OB,39,2848,79.36,203
116,OB,40,2849,80.46,204
116,OB,41,2850,81.58,205
116,OB,42,2851,82.57,206
116,OB,43,2852,83.46,207
116,OB,44,4987,86.3,208
116,OB,45,2978,88.85,209
116,OB,46,2979,89.98,210
116,OB,47,2980,91.44,211
116,OB,48,2981,92.51,212
116,OB,49,2954,97.63,213
116,OB,50,2955,100,214
11,OB,1,6122,-0.01,215
11,OB,2,35,0.82,216
11,OB,3,36,1.53,217
11,OB,4,37,2.87,218
11,OB,5,38,4.3,219
11,OB,6,39,4.87,220
11,OB,7,40,6.21,221
11,OB,8,41,7.1,222
11,OB,9,42,8,223
11,OB,10,43,8.93,224
11,OB,11,44,10.57,225
11,OB,12,7603,11.42,226
11,OB,13,45,12.32,227
11,OB,14,46,13.99,228
11,OB,15,47,15.3,229
11,OB,16,48,16.35,230
11,OB,17,49,18.03,231
11,OB,18,51,20.07,232
11,OB,19,52,21.24,233
11,OB,20,261,23.25,234
11,OB,21,271,26.67,235
11,OB,22,404,34.75,236
11,OB,23,747,37.44,237
11,OB,24,842,39.68,238
11,OB,25,845,40.84,239
11,OB,26,846,42.4,240
11,OB,27,847,43.66,241
11,OB,28,848,44.73,242
11,OB,29,849,46.4,243
11,OB,30,850,47.48,244
11,OB,31,851,48.45,245
11,OB,32,852,49.68,246
11,OB,33,853,51.77,247
11,OB,34,854,52.5,248
11,OB,35,855,53.57,249
11,OB,36,856,54.49,250
11,OB,37,857,55.05,251
11,OB,38,858,55.88,252
11,OB,39,859,57.15,253
11,OB,40,860,58.42,254
11,OB,41,861,59.94,255
11,OB,42,862,60.83,256
11,OB,43,3014,62.05,257
11,OB,44,3015,62.83,258
11,OB,45,3016,63.55,259
11,OB,46,3017,64.35,260
11,OB,47,3018,66.08,261
11,OB,48,3019,66.68,262
11,OB,49,3020,67.64,263
11,OB,50,3021,68.16,264
11,OB,51,3022,68.81,265
11,OB,52,441,69.28,266
11,OB,53,442,69.68,267
11,OB,54,443,70.33,268
11,OB,55,444,71.64,269
11,OB,56,445,72.37,270
11,OB,57,4779,73.14,271
11,OB,58,7057,74,272
11,OB,59,4847,75.61,273
11,OB,60,4848,95.64,274
11,OB,61,449,100,275
120,OB,1,6004,-0.01,276
120,OB,2,3,7.69,277
120,OB,3,192,19.35,278
120,OB,4,795,22.06,279
120,OB,5,796,23.61,280
120,OB,6,56,33.37,281
120,OB,7,58,37.42,282
120,OB,8,4499,40.17,283
120,OB,9,4934,42.26,284
120,OB,10,4500,44.88,285
120,OB,11,4481,46.6,286
120,OB,12,4485,49.2,287
120,OB,13,822,52.82,288
120,OB,14,823,54.86,289
120,OB,15,824,57.34,290
120,OB,16,825,59.64,291
120,OB,17,826,62.65,292
120,OB,18,827,64.63,293
120,OB,19,71,66.97,294
120,OB,20,72,69.07,295
120,OB,21,5144,75.5,296
120,OB,22,7027,80.2,297
120,OB,23,4538,86.18,298
120,OB,24,7396,89.6,299
120,OB,25,5145,94.31,300
120,OB,26,276,100.02,301
